 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
   8.000  -0.24118  -0.11522   0.26729  -154.464   -2.2234   **  -0.43464   0.47372   0.64290   132.536    5.3997   **    6.0921  -287.0004 
   9.000  -0.24251  -0.11620   0.26892  -154.398   -2.1709   **  -0.43478   0.47405   0.64324   132.526    5.4043   **    6.1038  -286.9237 
  10.000  -0.24384  -0.11721   0.27055  -154.326   -2.1183   **  -0.43476   0.47406   0.64323   132.524    5.4041   **    6.1116  -286.8503 
  11.000  -0.24516  -0.11825   0.27219  -154.250   -2.0657   **  -0.43458   0.47374   0.64287   132.531    5.3993   **    6.1154  -286.7810 
  12.000  -0.24648  -0.11932   0.27384  -154.170   -2.0132   **  -0.43423   0.47310   0.64216   132.547    5.3897   **    6.1153  -286.7166 
  13.000  -0.24780  -0.12040   0.27550  -154.086   -1.9608   **  -0.43372   0.47213   0.64110   132.572    5.3754   **    6.1113  -286.6578 
  14.000  -0.24910  -0.12150   0.27716  -153.999   -1.9088   **  -0.43305   0.47083   0.63970   132.606    5.3563   **    6.1034  -286.6054 
  15.000  -0.25040  -0.12262   0.27881  -153.910   -1.8570   **  -0.43222   0.46921   0.63794   132.650    5.3324   **    6.0916  -286.5600 
  16.000  -0.25169  -0.12374   0.28047  -153.820   -1.8056   **  -0.43122   0.46727   0.63584   132.703    5.3038   **    6.0759  -286.5225 
  17.000  -0.25297  -0.12487   0.28212  -153.728   -1.7547   **  -0.43008   0.46501   0.63340   132.765    5.2704   **    6.0563  -286.4936 
  18.000  -0.25425  -0.12601   0.28376  -153.636   -1.7042   **  -0.42877   0.46242   0.63062   132.838    5.2321   **    6.0329  -286.4738 
  19.000  -0.25550  -0.12715   0.28539  -153.544   -1.6544   **  -0.42732   0.45952   0.62750   132.920    5.1891   **    6.0056  -286.4641 
  20.000  -0.25675  -0.12828   0.28701  -153.452   -1.6052   **  -0.42571   0.45631   0.62405   133.013    5.1412   **    5.9745  -286.4649 
  21.000  -0.25798  -0.12941   0.28862  -153.361   -1.5567   **  -0.42394   0.45278   0.62027   133.116    5.0884   **    5.9396  -286.4771 
  22.000  -0.25920  -0.13053   0.29021  -153.271   -1.5089   **  -0.42204   0.44895   0.61617   133.230    5.0308   **    5.9010  -286.5013 
  23.000  -0.26041  -0.13164   0.29179  -153.183   -1.4618   **  -0.41998   0.44482   0.61175   133.355    4.9683   **    5.8585  -286.5381 
  24.000  -0.26160  -0.13273   0.29335  -153.097   -1.4156   **  -0.41778   0.44039   0.60703   133.491    4.9009   **    5.8124  -286.5883 
  25.000  -0.26277  -0.13381   0.29488  -153.014   -1.3703   **  -0.41544   0.43567   0.60199   133.638    4.8286   **    5.7626  -286.6524 
  26.000  -0.26393  -0.13487   0.29639  -152.933   -1.3258   **  -0.41295   0.43066   0.59666   133.798    4.7513   **    5.7091  -286.7310 
  27.000  -0.26508  -0.13590   0.29788  -152.856   -1.2823   **  -0.41034   0.42537   0.59103   133.969    4.6690   **    5.6521  -286.8249 
  28.000  -0.26620  -0.13692   0.29935  -152.782   -1.2397   **  -0.40758   0.41982   0.58512   134.153    4.5817   **    5.5914  -286.9347 
  29.000  -0.26731  -0.13790   0.30079  -152.712   -1.1980   **  -0.40469   0.41400   0.57894   134.349    4.4894   **    5.5272  -287.0609 
  30.000  -0.26841  -0.13886   0.30220  -152.646   -1.1574   **  -0.40168   0.40792   0.57249   134.558    4.3921   **    5.4596  -287.2042 
  31.000  -0.26948  -0.13978   0.30358  -152.584   -1.1177   **  -0.39854   0.40159   0.56578   134.781    4.2897   **    5.3886  -287.3652 
  32.000  -0.27055  -0.14068   0.30493  -152.527   -1.0791   **  -0.39527   0.39502   0.55882   135.018    4.1822   **    5.3142  -287.5445 
  33.000  -0.27159  -0.14154   0.30626  -152.474   -1.0415   **  -0.39188   0.38822   0.55162   135.269    4.0696   **    5.2365  -287.7427 
  34.000  -0.27262  -0.14236   0.30755  -152.426   -1.0049   **  -0.38837   0.38120   0.54419   135.534    3.9518   **    5.1556  -287.9605 
  35.000  -0.27363  -0.14315   0.30881  -152.384   -0.9694   **  -0.38475   0.37396   0.53654   135.815    3.8289   **    5.0715  -288.1984 
  36.000  -0.27462  -0.14390   0.31004  -152.346   -0.9348   **  -0.38102   0.36652   0.52869   136.111    3.7008   **    4.9845  -288.4570 
  37.000  -0.27561  -0.14461   0.31124  -152.314   -0.9013   **  -0.37717   0.35889   0.52063   136.423    3.5674   **    4.8944  -288.7370 
  38.000  -0.27657  -0.14528   0.31241  -152.287   -0.8688   **  -0.37323   0.35107   0.51239   136.752    3.4288   **    4.8016  -289.0390 
  39.000  -0.27752  -0.14592   0.31354  -152.265   -0.8373   **  -0.36917   0.34308   0.50398   137.098    3.2850   **    4.7059  -289.3636 
  40.000  -0.27846  -0.14651   0.31465  -152.250   -0.8067   **  -0.36502   0.33493   0.49540   137.462    3.1358   **    4.6077  -289.7115 
  41.000  -0.27938  -0.14706   0.31572  -152.239   -0.7771   **  -0.36078   0.32663   0.48667   137.844    2.9814   **    4.5069  -290.0833 
  42.000  -0.28029  -0.14757   0.31677  -152.234   -0.7484   **  -0.35643   0.31818   0.47779   138.245    2.8216   **    4.4038  -290.4797 
  43.000  -0.28119  -0.14804   0.31778  -152.235   -0.7207   **  -0.35200   0.30961   0.46879   138.666    2.6564   **    4.2985  -290.9013 
  44.000  -0.28208  -0.14846   0.31876  -152.242   -0.6938   **  -0.34749   0.30093   0.45968   139.107    2.4859   **    4.1911  -291.3488 
  45.000  -0.28296  -0.14885   0.31972  -152.254   -0.6678   **  -0.34289   0.29214   0.45046   139.569    2.3099   **    4.0817  -291.8230 
  46.000  -0.28383  -0.14920   0.32065  -152.271   -0.6426   **  -0.33821   0.28325   0.44115   140.054    2.1286   **    3.9707  -292.3245 
  47.000  -0.28469  -0.14950   0.32156  -152.294   -0.6181   **  -0.33345   0.27429   0.43177   140.560    1.9418   **    3.8581  -292.8540 
  48.000  -0.28554  -0.14977   0.32243  -152.322   -0.5944   **  -0.32862   0.26526   0.42232   141.091    1.7496   **    3.7442  -293.4124 
  49.000  -0.28638  -0.15000   0.32329  -152.355   -0.5713   **  -0.32373   0.25617   0.41282   141.645    1.5520   **    3.6291  -294.0004 
  50.000  -0.28722  -0.15020   0.32413  -152.393   -0.5490   **  -0.31876   0.24703   0.40328   142.226    1.3489   **    3.5131  -294.6187 
  51.000  -0.28806  -0.15036   0.32494  -152.436   -0.5272   **  -0.31374   0.23786   0.39371   142.832    1.1404   **    3.3965  -295.2682 
  52.000  -0.28889  -0.15049   0.32573  -152.484   -0.5059   **  -0.30865   0.22868   0.38414   143.466    0.9265   **    3.2793  -295.9498 
  53.000  -0.28972  -0.15058   0.32651  -152.536   -0.4852   **  -0.30351   0.21948   0.37456   144.128    0.7071   **    3.1620  -296.6642 
  54.000  -0.29054  -0.15065   0.32728  -152.593   -0.4649   **  -0.29832   0.21029   0.36499   144.819    0.4824   **    3.0448  -297.4123 
  55.000  -0.29137  -0.15068   0.32803  -152.654   -0.4450   **  -0.29308   0.20112   0.35545   145.541    0.2523   **    2.9279  -298.1950 
  56.000  -0.29220  -0.15069   0.32877  -152.719   -0.4255   **  -0.28779   0.19197   0.34594   146.295    0.0168   **    2.8116  -299.0133 
  57.000  -0.29302  -0.15068   0.32950  -152.787   -0.4062   **  -0.28246   0.18286   0.33649   147.081   -0.2239   **    2.6962  -299.8680 
  58.000  -0.29386  -0.15064   0.33022  -152.859   -0.3872   **  -0.27709   0.17381   0.32709   147.901   -0.4698   **    2.5820  -300.7601 
  59.000  -0.29469  -0.15058   0.33094  -152.933   -0.3684   **  -0.27169   0.16482   0.31777   148.757   -0.7209   **    2.4693  -301.6904 
  60.000  -0.29553  -0.15051   0.33165  -153.011   -0.3496   **  -0.26625   0.15590   0.30854   149.649   -0.9770   **    2.3583  -302.6600 
  61.000  -0.29638  -0.15042   0.33236  -153.091   -0.3309   **  -0.26079   0.14707   0.29940   150.579   -1.2382   **    2.2494  -303.6698 
  62.000  -0.29723  -0.15032   0.33308  -153.173   -0.3123   **  -0.25530   0.13834   0.29037   151.547   -1.5042   **    2.1429  -304.7206 
  63.000  -0.29809  -0.15021   0.33380  -153.257   -0.2935   **  -0.24979   0.12972   0.28146   152.556   -1.7749   **    2.0389  -305.8134 
  64.000  -0.29897  -0.15009   0.33452  -153.343   -0.2747   **  -0.24425   0.12121   0.27268   153.607   -2.0503   **    1.9379  -306.9491 
  65.000  -0.29985  -0.14996   0.33526  -153.429   -0.2556   **  -0.23871   0.11284   0.26403   154.699   -2.3301   **    1.8401  -308.1284 
  66.000  -0.30074  -0.14984   0.33600  -153.516   -0.2364   **  -0.23314   0.10460   0.25554   155.836   -2.6142   **    1.7457  -309.3522 
  67.000  -0.30165  -0.14972   0.33676  -153.604   -0.2168   **  -0.22757   0.09652   0.24720   157.017   -2.9024   **    1.6550  -310.6210 
  68.000  -0.30257  -0.14960   0.33753  -153.691   -0.1969   **  -0.22200   0.08859   0.23902   158.244   -3.1945   **    1.5682  -311.9355 
  69.000  -0.30350  -0.14949   0.33832  -153.778   -0.1767   **  -0.21641   0.08084   0.23102   159.518   -3.4903   **    1.4855  -313.2962 
  70.000  -0.30445  -0.14939   0.33913  -153.864   -0.1559   **  -0.21083   0.07326   0.22320   160.839   -3.7895   **    1.4070  -314.7034 
  71.000  -0.30542  -0.14930   0.33996  -153.949   -0.1347   **  -0.20525   0.06587   0.21556   162.208   -4.0919   **    1.3330  -316.1573 
  72.000  -0.30641  -0.14923   0.34081  -154.032   -0.1129   **  -0.19967   0.05867   0.20812   163.625   -4.3971   **    1.2635  -317.6578 
  73.000  -0.30741  -0.14918   0.34169  -154.113   -0.0905   **  -0.19411   0.05168   0.20087   165.091   -4.7050   **    1.1986  -319.2046 
  74.000  -0.30843  -0.14915   0.34260  -154.192   -0.0675   **  -0.18855   0.04490   0.19382   166.606   -5.0153   **    1.1384  -320.7974 
