 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   250  -0.00086197   0.00249246   0.00263730      -250.92
   251   0.00094980   0.00250917   0.00268292      -290.73
   252   0.00276920   0.00242861   0.00368329      -318.75
   253   0.00408689   0.00244260   0.00476119      -329.13
   254   0.00512891   0.00247526   0.00569496      -334.24
   255   0.00606252   0.00248525   0.00655215      -337.71
   256   0.00687943   0.00246860   0.00730894      -340.26
   257   0.00757756   0.00242208   0.00795524      -342.27
   258   0.00814882   0.00234492   0.00847950      -343.95
   259   0.00858606   0.00223711   0.00887272      -345.40
   260   0.00888304   0.00210065   0.00912804      -346.70
   261   0.00903627   0.00193263   0.00924063      -347.93
   262   0.00903913   0.00173604   0.00920433        10.87
   263   0.00889529   0.00152373   0.00902485         9.72
   264   0.00860348   0.00129396   0.00870024         8.55
   265   0.00816836   0.00105094   0.00823569         7.33
   266   0.00759754   0.00079784   0.00763932         5.99
   267   0.00690286   0.00053833   0.00692382         4.46
   268   0.00609565   0.00027500   0.00610185         2.58
   269   0.00521428   0.00001662   0.00521431         0.18
   270   0.00420757  -0.00025380   0.00421522        -3.45
   271   0.00313557  -0.00051822   0.00317811        -9.38
   272   0.00207084  -0.00076112   0.00220628       -20.18
   273   0.00095625  -0.00099843   0.00138249       -46.24
   274  -0.00016723  -0.00122128   0.00123267       -97.80
   275  -0.00128318  -0.00142732   0.00191932      -131.96
   276  -0.00237156  -0.00161354   0.00286841      -145.77
   277  -0.00341456  -0.00177779   0.00384965      -152.50
   278  -0.00439084  -0.00191761   0.00479131      -156.41
   279  -0.00529691  -0.00203560   0.00567459      -158.98
   280  -0.00608439  -0.00212352   0.00644431      -160.76
   281  -0.00676228  -0.00217856   0.00710454      -162.14
   282  -0.00733121  -0.00220323   0.00765512      -163.27
   283  -0.00777838  -0.00219626   0.00808250      -164.23
   284  -0.00809737  -0.00215725   0.00837981      -165.08
   285  -0.00828334  -0.00208553   0.00854185      -165.87
   286  -0.00833385  -0.00198007   0.00856584      -166.63
   287  -0.00824850  -0.00183885   0.00845098      -167.43
   288  -0.00802883  -0.00165771   0.00819818      -168.33
   289  -0.00767612  -0.00142590   0.00780744      -169.48
   290  -0.00718934  -0.00111769   0.00727570      -171.16
   291  -0.00651521  -0.00060824   0.00654354      -174.67
   292  -0.00567008   0.00001057   0.00567009      -180.11
   293  -0.00474079   0.00061865   0.00478098      -187.43
   294  -0.00372682   0.00122559   0.00392317      -198.20
   295  -0.00264861   0.00181999   0.00321364      -214.49
   296  -0.00152363   0.00239551   0.00283901      -237.54
   297  -0.00037001   0.00294999   0.00297310      -262.85
   298   0.00078777   0.00346919   0.00355751      -282.79
   299   0.00195340   0.00403139   0.00447972      -295.85
   300   0.00301316   0.00426817   0.00522460      -305.22
   301   0.00397375   0.00607455   0.00725885      -303.19
   302   0.00489437   0.00304263   0.00576303      -328.13
   303   0.00576642   0.00173440   0.00602160      -343.26
   304   0.00657756   0.00025831   0.00658263      -357.75
   305   0.00731357  -0.00108815   0.00739408      -368.46
   306   0.00796120  -0.00237163   0.00830694      -376.59
   307   0.00850842  -0.00357273   0.00922809      -382.78
   308   0.00894486  -0.00468286   0.01009652      -387.63
   309   0.00926198  -0.00568953   0.01086991      -391.56
   310   0.00945339  -0.00657836   0.01151701      -394.83
   311   0.00951553  -0.00734067   0.01201793      -397.65
   312   0.00944176  -0.00798917   0.01236825       -40.24
   313   0.00923286  -0.00851148   0.01255750       -42.67
   314   0.00888966  -0.00889637   0.01257662       -45.02
   315   0.00841845  -0.00913439   0.01242205       -47.34
   316   0.00782821  -0.00922125   0.01209596       -49.67
   317   0.00713188  -0.00915647   0.01160623       -52.09
   318   0.00634253  -0.00894082   0.01096202       -54.65
   319   0.00549699  -0.00859256   0.01020044       -57.39
   320   0.00456077  -0.00807802   0.00927658       -60.55
   321   0.01612209   0.00792596   0.01796503        26.18
   322   0.01687631   0.00677081   0.01818388        21.86
   323   0.01633149   0.00705773   0.01779126        23.37
   324   0.01568030   0.00736941   0.01732571        25.17
   325   0.01495079   0.00765331   0.01679581        27.11
   326   0.01415846   0.00788278   0.01620494        29.11
   327   0.01330961   0.00804590   0.01555256        31.15
   328   0.01240884   0.00813534   0.01483789        33.25
   329   0.01146021   0.00814651   0.01406066        35.41
   330   0.01046780   0.00807710   0.01322174        37.65
   331   0.00943221   0.00792682   0.01232076        40.04
   332   0.00835955   0.00770089   0.01136599        42.65
   333   0.00712995   0.00740511   0.01027968        46.08
   334   0.00580887   0.00700250   0.00909824        50.32
   335   0.00455903   0.00649190   0.00793282        54.92
   336   0.00339033   0.00583630   0.00674957        59.85
   337   0.00234874   0.00498823   0.00551353        64.79
   338   0.00150482   0.00386946   0.00415177        68.75
   339   0.00096766   0.00235808   0.00254890        67.69
   340   0.00114898  -0.00003595   0.00114954        -1.79
   341   0.00214738  -0.00317232   0.00383077       -55.91
   342   0.00169810  -0.00407485   0.00441451       -67.38
   343   0.00067409  -0.00389733   0.00395519       -80.19
   344  -0.00061924  -0.00363912   0.00369143       -99.66
   345   0.00182836   0.00437357   0.00474036        67.31
   346   0.00176493   0.00431313   0.00466026        67.75
   347   0.00172044   0.00424824   0.00458339        67.95
   348   0.00176973   0.00417167   0.00453153        67.01
   349   0.00186003   0.00407618   0.00448051        65.47
   350   0.00204009   0.00394739   0.00444340        62.67
   351   0.00216233   0.00393742   0.00449210        61.23



