 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    42   0.00132776   0.00299189   0.00327327        66.07
    43   0.00087634   0.00299947   0.00312487        73.71
    44   0.00039547   0.00297606   0.00300222        82.43
    45  -0.00010875   0.00292193   0.00292396        92.13
    46  -0.00066476   0.00282441   0.00290159       103.24
    47  -0.00145096   0.00264636   0.00301802       118.74
    48  -0.00225949   0.00241583   0.00330779       133.08
    49   0.00300812  -0.00214285   0.00369332       -35.46
    50   0.00350308  -0.00191792   0.00399374       -28.70
    51   0.00146788   0.00126284   0.00193634        40.71
    52   0.00177574   0.00146857   0.00230433        39.59
    53   0.00204795   0.00167087   0.00264308        39.21
    54   0.00228812   0.00186977   0.00295491        39.25
    55   0.00248977   0.00205848   0.00323052        39.58
    56   0.00265049   0.00223309   0.00346580        40.11
    57   0.00276822   0.00238997   0.00365719        40.81
    58   0.00284160   0.00252605   0.00380205        41.64
    59   0.00286975   0.00263869   0.00389848        42.60
    60   0.00285230   0.00272560   0.00394519        43.70
    61   0.00278932   0.00278493   0.00394159        44.95
    62   0.00268129   0.00281515   0.00388772        46.40
    63   0.00252907   0.00281512   0.00378433        48.06
    64   0.00233386   0.00278402   0.00363286        50.03
    65   0.00209711   0.00272135   0.00343564        52.38
    66   0.00182038   0.00262687   0.00319597        55.28
    67   0.00150542   0.00250065   0.00291883        58.95
    68   0.00115297   0.00234243   0.00261081        63.79
    69   0.00076746   0.00215457   0.00228718        70.39
    70   0.00033063   0.00192577   0.00195394        80.26
    71  -0.00031579   0.00157276   0.00160415       101.35
    72  -0.00101071   0.00118067   0.00155419       130.57
    73  -0.00168736   0.00076106   0.00185106       155.72
    74  -0.00228020   0.00033012   0.00230397       171.76
    75  -0.00265441   0.00001362   0.00265445       179.71
    76  -0.00295168  -0.00028874   0.00296577       185.59
    77  -0.00319274  -0.00058766   0.00324638       190.43
    78  -0.00337432  -0.00087895   0.00348692       194.60
    79  -0.00349735  -0.00116087   0.00368498       198.36
    80  -0.00356201  -0.00143093   0.00383869       201.89
    81  -0.00356892  -0.00168667   0.00394741       205.30
    82  -0.00351900  -0.00192563   0.00401141       208.69
    83  -0.00341361  -0.00214543   0.00403182       212.15
    84  -0.00325456  -0.00234385   0.00401071       215.76
    85  -0.00304412  -0.00251890   0.00395114       219.61
    86  -0.00278500  -0.00266880   0.00385729       223.78
    87  -0.00248028  -0.00279210   0.00373465       228.38
    88  -0.00213340  -0.00288761   0.00359022       233.54
    89  -0.00174800  -0.00295443   0.00343281       239.39
    90  -0.00132776  -0.00299189   0.00327327       246.07
    91  -0.00087634  -0.00299947   0.00312487       253.71
    92  -0.00039547  -0.00297606   0.00300222       262.43
    93   0.00010875  -0.00292193   0.00292396       272.13
    94   0.00066476  -0.00282441   0.00290159       283.24
    95   0.00145096  -0.00264636   0.00301802       -61.26
    96   0.00225949  -0.00241583   0.00330779       -46.92
    97   0.00229719  -0.00303010   0.00380244       -52.83
    98   0.00250382  -0.00289126   0.00382472       -49.11
    99   0.00284547  -0.00260930   0.00386072       -42.52
   100   0.00318645  -0.00226767   0.00391098       -35.44
   101   0.00352568  -0.00186551   0.00398881       -27.88
   102   0.00384704  -0.00141137   0.00409776       -20.15
   103   0.00414153  -0.00090939   0.00424020       -12.38
   104   0.00440168  -0.00036292   0.00441661        -4.71
   105   0.00462175   0.00022944   0.00462745         2.84
   106   0.00479731   0.00086146   0.00487405        10.18
   107   0.00492503   0.00160115   0.00517876        18.01
   108   0.00500257   0.00220661   0.00546762        23.80
   109   0.00502857   0.00436750   0.00666045        40.98
   110   0.00500257   0.00220661   0.00546762        23.80
   111   0.00492503   0.00160115   0.00517876        18.01
   112   0.00479731   0.00086146   0.00487405        10.18
   113   0.00462175   0.00022944   0.00462745         2.84
   114   0.00440168  -0.00036292   0.00441661        -4.71
   115   0.00414153  -0.00090939   0.00424020       -12.38
   116   0.00384704  -0.00141137   0.00409776       -20.15
   117   0.00352568  -0.00186551   0.00398881       -27.88
   118   0.00318645  -0.00226767   0.00391098       -35.44
   119   0.00284547  -0.00260930   0.00386072       -42.52
   120   0.00250382  -0.00289126   0.00382472       -49.11
   121   0.00229719  -0.00303010   0.00380244       -52.83



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00302919   0.00217551   0.00372945       144.31
     2  -0.00352693   0.00195387   0.00403198       151.01
     3  -0.00148493  -0.00123897   0.00193393      -140.16
     4  -0.00179442  -0.00144324   0.00230280      -141.19
     5  -0.00206797  -0.00164453   0.00264216      -141.51
     6  -0.00230923  -0.00184283   0.00295441      -141.41
     7  -0.00251166  -0.00203138   0.00323031      -141.03
     8  -0.00267284  -0.00220623   0.00346576      -140.46
     9  -0.00279069  -0.00236377   0.00365723      -139.73
    10  -0.00286385  -0.00250090   0.00380212      -138.87
    11  -0.00289146  -0.00261494   0.00389852      -137.87
    12  -0.00287313  -0.00270361   0.00394517      -136.74
    13  -0.00280895  -0.00276501   0.00394151      -135.45
    14  -0.00269941  -0.00279760   0.00388759      -133.98
    15  -0.00254540  -0.00280020   0.00378420      -132.27
    16  -0.00234813  -0.00277196   0.00363283      -130.27
    17  -0.00210907  -0.00271235   0.00343585      -127.87
    18  -0.00182982  -0.00262111   0.00319663      -124.92
    19  -0.00151216  -0.00249828   0.00292028      -121.19
    20  -0.00115683  -0.00234359   0.00261355      -116.27
    21  -0.00076834  -0.00215935   0.00229197      -109.59
    22  -0.00032831  -0.00193441   0.00196207       -99.63
    23   0.00032261  -0.00158683   0.00161929       -78.51
    24   0.00102211  -0.00120026   0.00157650       -49.58
    25   0.00170311  -0.00078568   0.00187560       -24.76
    26   0.00229977  -0.00035874   0.00232759        -8.87
    27   0.00267639  -0.00004450   0.00267676        -0.95
    28   0.00297550   0.00025635   0.00298653         4.92
    29   0.00321798   0.00055435   0.00326538         9.77
    30   0.00340051   0.00084531   0.00350400        13.96
    31   0.00352405   0.00112746   0.00370001        17.74
    32   0.00358878   0.00139829   0.00385156        21.29
    33   0.00359530   0.00165531   0.00395806        24.72
    34   0.00354457   0.00189603   0.00401981        28.14
    35   0.00343796   0.00211803   0.00403802        31.64
    36   0.00327730   0.00231907   0.00401482        35.28
    37   0.00306489   0.00249709   0.00395336        39.17
    38   0.00280346   0.00265031   0.00385792        43.39
    39   0.00249615   0.00277720   0.00373412        48.05
    40   0.00214642   0.00287654   0.00358909        53.27
    41   0.00175797   0.00294738   0.00343184        59.19
    42   0.00133451   0.00298901   0.00327339        65.94
    43   0.00087974   0.00300088   0.00312717        73.66
    44   0.00039544   0.00298184   0.00300795        82.45
    45  -0.00011224   0.00293211   0.00293426        92.19
    46  -0.00067189   0.00283922   0.00291764       103.31
    47  -0.00146299   0.00266747   0.00304232       118.74
    48  -0.00227628   0.00244312   0.00333921       132.98
    49   0.00302919  -0.00217551   0.00372945       -35.69
    50   0.00352693  -0.00195387   0.00403198       -28.99
    51   0.00148493   0.00123897   0.00193393        39.84
    52   0.00179442   0.00144324   0.00230280        38.81
    53   0.00206797   0.00164453   0.00264216        38.49
    54   0.00230923   0.00184283   0.00295441        38.59
