 [antenna_chara1.dat]

 >>---------PARA ---------<< ** >>------- Impedance -------- ------<< ** >>------ Max-Direction Gain(dB) ----<< ** >>---- 0(deg)-Gain(dB) ----<<
         para1         para2 **    Zin.re    Zin.im  VSWR-50  VSWR-75 **    Angle       EƒÆ       EƒÓ   EƒÆ+EƒÓ **       EƒÆ       EƒÓ   EƒÆ+EƒÓ
      0.488449      0.046245 **    158.16   -118.69    5.063    3.483 **   30.000     6.890    -0.126     7.678 **   -10.434   -14.103    -8.882
      0.488449      0.046245 **    157.96   -119.97    5.102    3.511 **   30.000     6.858     0.145     7.697 **   -10.478   -14.052    -8.897
      0.488449      0.046245 **    157.60   -121.32    5.143    3.540 **   30.000     6.823     0.422     7.718 **   -10.524   -14.004    -8.914
      0.488449      0.046245 **    157.07   -122.73    5.185    3.570 **   30.000     6.785     0.705     7.742 **   -10.573   -13.957    -8.933
      0.488449      0.046245 **    156.34   -124.19    5.228    3.602 **   30.000     6.744     0.994     7.769 **   -10.625   -13.913    -8.955
      0.488449      0.046245 **    155.40   -125.68    5.273    3.635 **   30.000     6.700     1.290     7.799 **   -10.680   -13.872    -8.979
      0.488449      0.046245 **    154.23   -127.18    5.318    3.668 **   30.000     6.652     1.592     7.831 **   -10.737   -13.835    -9.005
      0.488449      0.046245 **    152.80   -128.68    5.364    3.703 **   30.000     6.600     1.900     7.867 **   -10.798   -13.802    -9.035
      0.488449      0.046245 **    151.10   -130.14    5.410    3.738 **   30.000     6.542     2.215     7.907 **   -10.863   -13.773    -9.068
      0.488449      0.046245 **    149.10   -131.54    5.455    3.773 **   30.000     6.478     2.536     7.950 **   -10.931   -13.751    -9.106
      0.488449      0.046245 **    146.81   -132.82    5.498    3.808 **   30.000     6.407     2.862     7.997 **   -11.002   -13.736    -9.147
      0.488449      0.046245 **    144.19   -133.96    5.539    3.842 **   30.000     6.328     3.194     8.048 **   -11.077   -13.729    -9.193
      0.488449      0.046245 **    141.26   -134.90    5.576    3.874 **   30.000     6.240     3.530     8.103 **   -11.156   -13.732    -9.245
      0.488449      0.046245 **    138.01   -135.58    5.608    3.903 **   30.000     6.141     3.869     8.162 **   -11.237   -13.747    -9.303
