 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   158   0.00158364   0.00168733   0.00231409        46.82
   159   0.00160164   0.00189136   0.00247840        49.74
   160   0.00159185   0.00206868   0.00261026        52.42
   161   0.00155518   0.00221769   0.00270864        54.96
   162   0.00149273   0.00233701   0.00277306        57.43
   163   0.00140588   0.00242549   0.00280348        59.90
   164   0.00129625   0.00248231   0.00280038        62.43
   165   0.00116569   0.00250697   0.00276473        65.06
   166   0.00101629   0.00249932   0.00269805        67.87
   167   0.00085036   0.00245955   0.00260241        70.93
   168   0.00067038   0.00238825   0.00248055        74.32
   169   0.00047901   0.00228633   0.00233597        78.17
   170   0.00027901   0.00215511   0.00217310        82.62
   171   0.00007327   0.00199622   0.00199757        87.90
   172  -0.00013526   0.00181164   0.00181668        94.27
   173  -0.00034362   0.00160364   0.00164004       102.09
   174  -0.00054883   0.00137479   0.00148029       111.76
   175  -0.00074797   0.00112790   0.00135337       123.55
   176  -0.00093819   0.00086601   0.00127678       137.29
   177  -0.00111676   0.00059232   0.00126412       152.06
   178  -0.00128109   0.00031019   0.00131811       166.39
   179  -0.00142877   0.00002307   0.00142895       179.08
   180  -0.00155759  -0.00026554   0.00158007       189.67
   181  -0.00166560  -0.00055211   0.00175472       198.34
   182  -0.00175107  -0.00083316   0.00193918       205.45
   183  -0.00181258  -0.00110530   0.00212300       211.37
   184  -0.00184896  -0.00136523   0.00229837       216.44
   185  -0.00185939  -0.00160984   0.00245946       220.89
   186  -0.00184333  -0.00183623   0.00260185       224.89
   187  -0.00180056  -0.00204171   0.00272223       228.59
   188  -0.00173114  -0.00222389   0.00281825       232.10
   189  -0.00163545  -0.00238067   0.00288830       235.51
   190  -0.00151414  -0.00251027   0.00293156       238.90
   191  -0.00136807  -0.00261121   0.00294788       242.35
   192  -0.00119831  -0.00268230   0.00293780       245.93
   193  -0.00100601  -0.00272256   0.00290248       249.72
   194  -0.00079240  -0.00273116   0.00284379       253.82
   195  -0.00055794  -0.00270674   0.00276365       258.35
   196  -0.00030504  -0.00264899   0.00266650       263.43
   197  -0.00002173  -0.00254795   0.00254805       269.51
   198   0.00030489  -0.00240077   0.00242005       -82.76
   199   0.00062017  -0.00223606   0.00232047       -74.50
   200   0.00096880  -0.00202214   0.00224224       -64.40
   201   0.00123775  -0.00336135   0.00358199       -69.78
   202   0.00134890  -0.00322162   0.00349261       -67.28
   203   0.00152926  -0.00294496   0.00331835       -62.56
   204   0.00170899  -0.00260809   0.00311814       -56.76
   205   0.00188765  -0.00221074   0.00290699       -49.51
   206   0.00205706  -0.00176110   0.00270794       -40.57
   207   0.00221253  -0.00126329   0.00254779       -29.73
   208   0.00235007  -0.00072065   0.00245809       -17.05
   209   0.00246658  -0.00013179   0.00247010        -3.06
   210   0.00255962   0.00049709   0.00260744        10.99
   211   0.00262735   0.00123385   0.00290265        25.16
   212   0.00266850   0.00183717   0.00323977        34.55
   213   0.00268230   0.00399299   0.00481028        56.11
   214   0.00266850   0.00183717   0.00323977        34.55
   215   0.00262735   0.00123385   0.00290265        25.16
   216   0.00255962   0.00049709   0.00260744        10.99
   217   0.00246658  -0.00013179   0.00247010        -3.06
   218   0.00235007  -0.00072065   0.00245809       -17.05
   219   0.00221253  -0.00126329   0.00254779       -29.73
   220   0.00205706  -0.00176110   0.00270794       -40.57
   221   0.00188765  -0.00221074   0.00290699       -49.51
   222   0.00170899  -0.00260809   0.00311814       -56.76
   223   0.00152926  -0.00294496   0.00331835       -62.56
   224   0.00134890  -0.00322162   0.00349261       -67.28
   225   0.00123775  -0.00336135   0.00358199       -69.78



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00131760   0.00179792   0.00222903       126.24
     2  -0.00158737   0.00158122   0.00224054       135.11
     3  -0.00178049   0.00141118   0.00227191       141.60
     4  -0.00067058  -0.00208752   0.00219258      -107.81
     5  -0.00083532  -0.00226457   0.00241371      -110.25
     6  -0.00098192  -0.00242354   0.00261490      -112.06
     7  -0.00111221  -0.00256448   0.00279527      -113.45
     8  -0.00122286  -0.00268164   0.00294730      -114.51
