 [antenna_chara2.dat]

 >>------------------PARA ---------------<< ** >>------- Impedance -------- ------<< ** >>-------    Max Direction Gain&AR(dB) -----<< ** >>------  0(deg) Gain&AR(dB)  -----<<
         para1         para2          para3          para4          para5          para6          para7  **    Zin.re    Zin.im  VSWR-50  VSWR-75 **      Angle        Er        El       Er+El      AR **         Er         El        Er+El       AR
      0.488449      0.046245      0.250000      0.094677      0.986000      2.030416      0.442204 **    157.07   -122.73    5.185    3.570 **   31.000     7.244    -1.945     7.738   6.292 **    -9.782   -16.441    -8.933   8.741
      0.488449      0.046245      0.250000      0.094677      0.987000      2.030416      0.442204 **    156.34   -124.19    5.228    3.602 **   31.000     7.317    -2.314     7.766   5.955 **    -9.786   -16.546    -8.955   8.621
      0.488449      0.046245      0.250000      0.094677      0.988000      2.030416      0.442204 **    155.40   -125.68    5.273    3.635 **   31.000     7.393    -2.726     7.796   5.606 **    -9.790   -16.662    -8.979   8.493
      0.488449      0.046245      0.250000      0.094677      0.989000      2.030416      0.442204 **    154.23   -127.18    5.318    3.668 **   31.000     7.472    -3.190     7.830   5.244 **    -9.797   -16.788    -9.005   8.357
      0.488449      0.046245      0.250000      0.094677      0.990000      2.030416      0.442204 **    152.80   -128.68    5.364    3.703 **   31.000     7.554    -3.717     7.867   4.869 **    -9.805   -16.927    -9.035   8.213
      0.488449      0.046245      0.250000      0.094677      0.991000      2.030416      0.442204 **    151.10   -130.14    5.410    3.738 **   31.000     7.639    -4.322     7.907   4.480 **    -9.816   -17.080    -9.068   8.060
      0.488449      0.046245      0.250000      0.094677      0.992000      2.030416      0.442204 **    149.10   -131.54    5.455    3.773 **   31.000     7.727    -5.023     7.952   4.076 **    -9.829   -17.248    -9.106   7.897
      0.488449      0.046245      0.250000      0.094677      0.993000      2.030416      0.442204 **    146.81   -132.82    5.498    3.808 **   31.000     7.817    -5.846     8.000   3.656 **    -9.845   -17.432    -9.147   7.724
      0.488449      0.046245      0.250000      0.094677      0.994000      2.030416      0.442204 **    144.19   -133.96    5.539    3.842 **   31.000     7.909    -6.831     8.052   3.220 **    -9.864   -17.636    -9.193   7.540
      0.488449      0.046245      0.250000      0.094677      0.995000      2.030416      0.442204 **    141.26   -134.90    5.576    3.874 **   31.000     8.001    -8.031     8.108   2.766 **    -9.888   -17.861    -9.245   7.346
      0.488449      0.046245      0.250000      0.094677      0.996000      2.030416      0.442204 **    138.01   -135.58    5.608    3.903 **   31.000     8.094    -9.533     8.168   2.296 **    -9.916   -18.109    -9.303   7.140
      0.488449      0.046245      0.250000      0.094677      0.997000      2.030416      0.442204 **    134.45   -135.94    5.632    3.928 **   31.000     8.185   -11.476     8.232   1.813 **    -9.949   -18.381    -9.367   6.925
      0.488449      0.046245      0.250000      0.094677      0.998000      2.030416      0.442204 **    130.62   -135.91    5.647    3.948 **   31.000     8.274   -14.088     8.299   1.326 **    -9.988   -18.679    -9.437   6.700
      0.488449      0.046245      0.250000      0.094677      0.999000      2.030416      0.442204 **    126.55   -135.45    5.649    3.960 **   31.000     8.357   -17.572     8.368   0.878 **   -10.034   -19.002    -9.515   6.470
      0.488449      0.046245      0.250000      0.094677      1.000000      2.030416      0.442204 **    122.30   -134.48    5.635    3.963 **   31.000     8.433   -20.116     8.439   0.649 **   -10.087   -19.348    -9.601   6.236
      0.488449      0.046245      0.250000      0.094677      1.001000      2.030416      0.442204 **    117.93   -132.96    5.602    3.954 **   31.000     8.498   -17.138     8.510   0.909 **   -10.149   -19.711    -9.693   6.006
      0.488449      0.046245      0.250000      0.094677      1.002000      2.030416      0.442204 **    113.52   -130.84    5.547    3.931 **   31.000     8.549   -12.993     8.579   1.458 **   -10.220   -20.078    -9.793   5.789
      0.488449      0.046245      0.250000      0.094677      1.003000      2.030416      0.442204 **    109.17   -128.10    5.465    3.890 **   31.000     8.581    -9.731     8.644   2.120 **   -10.299   -20.429    -9.897   5.598
      0.488449      0.046245      0.250000      0.094677      1.004000      2.030416      0.442204 **    104.99   -124.73    5.353    3.829 **   31.000     8.589    -7.173     8.703   2.855 **   -10.388   -20.736   -10.004   5.450
      0.488449      0.046245      0.250000      0.094677      1.005000      2.030416      0.442204 **    101.07   -120.74    5.209    3.746 **   31.000     8.568    -5.095     8.751   3.656 **   -10.484   -20.959   -10.111   5.365
      0.488449      0.046245      0.250000      0.094677      1.006000      2.030416      0.442204 **     97.53   -116.18    5.033    3.640 **   31.000     8.513    -3.363     8.786   4.526 **   -10.586   -21.058   -10.213   5.367
      0.488449      0.046245      0.250000      0.094677      1.007000      2.030416      0.442204 **     94.45   -111.11    4.825    3.511 **   31.000     8.418    -1.896     8.804   5.473 **   -10.691   -21.003   -10.305   5.474
      0.488449      0.046245      0.250000      0.094677      1.008000      2.030416      0.442204 **     91.92   -105.60    4.591    3.362 **   31.000     8.279    -0.642     8.803   6.508 **   -10.796   -20.784   -10.381   5.697
      0.488449      0.046245      0.250000      0.094677      1.009000      2.030416      0.442204 **     89.99    -99.75    4.336    3.194 **   31.000     8.094     0.430     8.780   7.648 **   -10.896   -20.421   -10.437   6.034
      0.488449      0.046245      0.250000      0.094677      1.010000      2.030416      0.442204 **     88.71    -93.65    4.070    3.015 **   32.000     7.861     1.284     8.724   8.837 **   -10.986   -19.952   -10.467   6.471
      0.488449      0.046245      0.250000      0.094677      1.011000      2.030416      0.442204 **     88.09    -87.43    3.802    2.829 **   32.000     7.582     2.059     8.655  10.240 **   -11.061   -19.427   -10.471   6.984
      0.488449      0.046245      0.250000      0.094677      1.012000      2.030416      0.442204 **     88.13    -81.17    3.543    2.645 **   32.000     7.258     2.710     8.564  11.837 **   -11.119   -18.888   -10.448   7.543
