 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    90.000  -30.0000  -11.2231  -12.1417  -12.1417




  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -11.1860  -12.1108  -12.1108
   -89.000  -30.0000  -11.1787  -12.0668  -12.1401
   -88.000  -30.0000  -11.1569  -12.0078  -12.1551
   -87.000  -30.0000  -11.1200  -11.9328  -12.1554
   -86.000  -30.0000  -11.0673  -11.8410  -12.1408
   -85.000  -30.0000  -10.9978  -11.7314  -12.1106
   -84.000  -30.0000  -10.9106  -11.6028  -12.0638
   -83.000  -30.0000  -10.8044  -11.4543  -11.9993
   -82.000  -30.0000  -10.6783  -11.2850  -11.9160
   -81.000  -30.0000  -10.5313  -11.0945  -11.8128
   -80.000  -30.0000  -10.3628  -10.8825  -11.6888
   -79.000  -30.0000  -10.1726  -10.6493  -11.5432
   -78.000  -30.0000   -9.9608  -10.3956  -11.3756
   -77.000  -30.0000   -9.7279  -10.1224  -11.1861
   -76.000  -30.0000   -9.4750   -9.8312  -10.9751
   -75.000  -29.8498   -9.2034   -9.5239  -10.7435
   -74.000  -29.2431   -8.9150   -9.2023  -10.4926
   -73.000  -28.6685   -8.6116   -8.8688  -10.2242
   -72.000  -28.1222   -8.2957   -8.5256   -9.9402
   -71.000  -27.6012   -7.9693   -8.1750   -9.6428
   -70.000  -27.1029   -7.6350   -7.8192   -9.3343
   -69.000  -26.6255   -7.2948   -7.4604   -9.0170
   -68.000  -26.1670   -6.9511   -7.1005   -8.6933
   -67.000  -25.7260   -6.6059   -6.7414   -8.3654
   -66.000  -25.3014   -6.2610   -6.3847   -8.0354
   -65.000  -24.8920   -5.9182   -6.0319   -7.7052
   -64.000  -24.4972   -5.5790   -5.6842   -7.3766
   -63.000  -24.1161   -5.2447   -5.3430   -7.0511
   -62.000  -23.7482   -4.9166   -5.0090   -6.7303
   -61.000  -23.3930   -4.5956   -4.6833   -6.4153
   -60.000  -23.0502   -4.2827   -4.3666   -6.1071
   -59.000  -22.7193   -3.9786   -4.0594   -5.8068
   -58.000  -22.4002   -3.6841   -3.7624   -5.5152
   -57.000  -22.0927   -3.3996   -3.4760   -5.2329
   -56.000  -21.7967   -3.1258   -3.2006   -4.9605
   -55.000  -21.5119   -2.8629   -2.9366   -4.6986
   -54.000  -21.2385   -2.6114   -2.6843   -4.4476
   -53.000  -20.9762   -2.3716   -2.4440   -4.2079
   -52.000  -20.7252   -2.1438   -2.2158   -3.9798
   -51.000  -20.4854   -1.9282   -2.0000   -3.7636
   -50.000  -20.2569   -1.7250   -1.7969   -3.5595
   -49.000  -20.0397   -1.5345   -1.6065   -3.3679
   -48.000  -19.8340   -1.3568   -1.4290   -3.1888
   -47.000  -19.6396   -1.1921   -1.2647   -3.0226
   -46.000  -19.4569   -1.0407   -1.1137   -2.8694
   -45.000  -19.2857   -0.9026   -0.9761   -2.7295
   -44.000  -19.1264   -0.7782   -0.8522   -2.6029
   -43.000  -18.9790   -0.6675   -0.7422   -2.4899
   -42.000  -18.8435   -0.5708   -0.6462   -2.3908
   -41.000  -18.7203   -0.4883   -0.5645   -2.3057
   -40.000  -18.6093   -0.4203   -0.4974   -2.2349
   -39.000  -18.5108   -0.3671   -0.4450   -2.1786
   -38.000  -18.4249   -0.3288   -0.4077   -2.1371
   -37.000  -18.3518   -0.3059   -0.3858   -2.1107
   -36.000  -18.2917   -0.2986   -0.3796   -2.0998
   -35.000  -18.2448   -0.3074   -0.3896   -2.1047
   -34.000  -18.2112   -0.3327   -0.4161   -2.1258
   -33.000  -18.1912   -0.3750   -0.4597   -2.1636
   -32.000  -18.1850   -0.4348   -0.5210   -2.2187
   -31.000  -18.1928   -0.5127   -0.6004   -2.2915
   -30.000  -18.2149   -0.6094   -0.6986   -2.3827
   -29.000  -18.2515   -0.7257   -0.8166   -2.4931
   -28.000  -18.3029   -0.8623   -0.9549   -2.6234
   -27.000  -18.3693   -1.0202   -1.1148   -2.7745
   -26.000  -18.4511   -1.2005   -1.2971   -2.9475
   -25.000  -18.5485   -1.4045   -1.5032   -3.1435
   -24.000  -18.6617   -1.6336   -1.7345   -3.3639
   -23.000  -18.7912   -1.8894   -1.9926   -3.6101
   -22.000  -18.9370   -2.1737   -2.2793   -3.8841
   -21.000  -19.0996   -2.4888   -2.5969   -4.1877
   -20.000  -19.2790   -2.8371   -2.9478   -4.5235
   -19.000  -19.4756   -3.2219   -3.3351   -4.8941
   -18.000  -19.6892   -3.6465   -3.7623   -5.3031
   -17.000  -19.9201   -4.1155   -4.2336   -5.7542
   -16.000  -20.1679   -4.6339   -4.7541   -6.2525
   -15.000  -20.4324   -5.2085   -5.3302   -6.8039
   -14.000  -20.7129   -5.8472   -5.9695   -7.4157
   -13.000  -21.0086   -6.5605   -6.6817   -8.0974
   -12.000  -21.3180   -7.3618   -7.4794   -8.8610
   -11.000  -21.6390   -8.2693   -8.3784   -9.7226
   -10.000  -21.9691   -9.3076   -9.4002  -10.7039
    -9.000  -22.3044  -10.5120  -10.5730  -11.8356
    -8.000  -22.6403  -11.9352  -11.9352  -13.1627
    -7.000  -22.9706  -13.6605  -13.5376  -14.7554
    -6.000  -23.2879  -15.8297  -15.4392  -16.7313
    -5.000  -23.5836  -18.7085  -17.6645  -19.3098
    -4.000  -23.8477  -22.8247  -19.9787  -22.9667
    -3.000  -24.0698  -28.2482  -21.2714  -28.8949
    -2.000  -24.2400  -26.2677  -20.2616  -30.0000
    -1.000  -24.3495  -21.0625  -17.9810  -25.7269
     0.000  -24.3925  -17.4784  -15.6971  -21.0609
     1.000  -24.3665  -14.8932  -13.7288  -17.9791
     2.000  -24.2729  -12.8968  -12.0677  -15.7051
     3.000  -24.1170  -11.2815  -10.6556  -13.9137
     4.000  -23.9069   -9.9325   -9.4398  -12.4429
     5.000  -23.6523   -8.7800   -8.3803  -11.2013
     6.000  -23.3637   -7.7791   -7.4473  -10.1322
     7.000  -23.0510   -6.8991   -6.6189   -9.1982
     8.000  -22.7234   -6.1181   -5.8783   -8.3733
     9.000  -22.3885   -5.4200   -5.2127   -7.6387
    10.000  -22.0529   -4.7927   -4.6119   -6.9805
    11.000  -21.7215   -4.2268   -4.0682   -6.3879
    12.000  -21.3983   -3.7148   -3.5750   -5.8527
    13.000  -21.0862   -3.2507   -3.1271   -5.3681
    14.000  -20.7873   -2.8298   -2.7203   -4.9289
    15.000  -20.5033   -2.4480   -2.3509   -4.5306
    16.000  -20.2351   -2.1020   -2.0159   -4.1696
    17.000  -19.9835   -1.7890   -1.7128   -3.8430
    18.000  -19.7488   -1.5067   -1.4394   -3.5480
    19.000  -19.5312   -1.2531   -1.1939   -3.2827
    20.000  -19.3308   -1.0265   -0.9746   -3.0450
    21.000  -19.1475   -0.8253   -0.7803   -2.8336
    22.000  -18.9812   -0.6484   -0.6097   -2.6469
    23.000  -18.8315   -0.4945   -0.4618   -2.4838
    24.000  -18.6984   -0.3629   -0.3357   -2.3434
    25.000  -18.5815   -0.2526   -0.2306   -2.2246
    26.000  -18.4805   -0.1630   -0.1458   -2.1268
    27.000  -18.3952   -0.0934   -0.0808   -2.0494
    28.000  -18.3253   -0.0433   -0.0351   -1.9917
    29.000  -18.2705   -0.0123   -0.0083   -1.9532
    30.000  -18.2306    0.0000    0.0000   -1.9336
    31.000  -18.2052   -0.0061   -0.0099   -1.9325
    32.000  -18.1941   -0.0303   -0.0378   -1.9497
    33.000  -18.1971   -0.0725   -0.0835   -1.9849
    34.000  -18.2140   -0.1325   -0.1469   -2.0380
    35.000  -18.2444   -0.2102   -0.2279   -2.1088
    36.000  -18.2883   -0.3057   -0.3265   -2.1973
    37.000  -18.3454   -0.4188   -0.4428   -2.3035
    38.000  -18.4155   -0.5498   -0.5767   -2.4274
    39.000  -18.4984   -0.6986   -0.7284   -2.5691
    40.000  -18.5940   -0.8655   -0.8982   -2.7287
    41.000  -18.7021   -1.0507   -1.0862   -2.9064
    42.000  -18.8225   -1.2545   -1.2927   -3.1025
    43.000  -18.9550   -1.4771   -1.5180   -3.3170
    44.000  -19.0997   -1.7190   -1.7626   -3.5505
    45.000  -19.2562   -1.9807   -2.0270   -3.8032
